b.bbl,b.address,comp-1,comp-2,comp-3,node,o.name
1008041103,111 WEST 28 STREET C NYC NY 10001,1.2734343e-06,-1.2008691e-06,-6.371732e-08,property,
1008621544,325 5 AVENUE 43A NYC NY 10016,1.0899487e-06,3.5237113e-07,-1.988282e-06,property,
1008881008,157 EAST 32 STREET 3E NYC NY 10016,-6.800491e-08,9.951278e-07,-1.2487862e-07,property,
1004550021,,1.1724004e-06,1.6590263e-06,-9.205054e-07,property,
1008030004,307 7 AVENUE  NYC NY 10001,1.4461104e-06,4.406558e-06,-2.930221e-06,property,
1007751203,261 WEST 25 STREET GRNDC NYC NY 10001,1.2759363e-06,9.762529e-07,-8.911677e-06,property,
1008901331,155 EAST 34 STREET 20F NYC NY 10016,1.173276e-06,-3.6363704e-07,6.668778e-07,property,
1008621502,325 5 AVENUE 36A NYC NY 10016,2.6820094e-06,3.0592869e-06,1.7371233e-06,property,
1008661269,11 EAST 36 STREET PH 1 NYC NY 10016,-4.9186247e-07,-1.2076611e-05,2.7059355e-06,property,
1008621264,325 5 AVENUE S62 NYC NY 10016,1.0678232e-06,-2.596798e-06,-1.0900346e-06,property,
1008591250,39 EAST 29 STREET 11E NYC NY 10016,1.4119529e-06,1.6238815e-06,-4.814695e-06,property,
1008571007,241 5 AVENUE 4B NYC NY 10016,1.143561e-06,7.3325455e-06,-2.1688584e-06,property,
1005250035,,-2.39389e-06,-1.7088973e-06,-2.392577e-07,property,
1009140004,,1.2503767e-06,1.286935e-09,-1.0521688e-06,property,
1008020077,299 7 AVENUE  NYC NY 10001,1.2789192e-06,1.3079158e-06,-3.1486022e-06,property,
1009120031,567 2 AVENUE  NYC NY 10016,8.481415e-07,-3.6563847e-06,-6.013476e-07,property,
1009364120,330 EAST 33 STREET 9-H NYC NY 10016,1.1272355e-06,9.742944e-07,6.5836264e-07,property,
1007741094,252 7 AVENUE 6K NYC NY 10001,6.1079464e-07,-6.226081e-06,-1.0013191e-06,property,
1007741136,252 7 AVENUE 8A NYC NY 10001,5.615134e-06,-3.7420555e-06,-7.4360423e-06,property,
1009081006,200 EAST 28 STREET 2B NYC NY 10016,1.2520151e-06,2.1151513e-06,-1.5481749e-07,property,
1008661270,11 EAST 36 STREET PH 2 NYC NY 10016,1.5763137e-06,5.475857e-07,-2.1573092e-06,property,
1009431174,330 EAST 38 STREET 16E NYC NY 10016,9.661917e-07,1.1658234e-06,-9.4415026e-07,property,
1008370020,35 WEST 35 STREET  NYC NY 10001,3.2079417e-06,-5.054927e-06,-3.2802075e-06,property,
1008360065,,1.7126899e-06,1.7410243e-06,-6.905983e-07,property,
1008899001,,1.5098511e-06,-1.3711704e-06,1.4910263e-06,property,
1009351059,350 EAST 30 STREET 5K NYC NY 10016,1.2279311e-06,5.2190535e-07,-4.627006e-06,property,
1009151215,225 EAST 34 STREET 4B NYC NY 10016,4.243784e-06,4.8690895e-06,6.361494e-06,property,
1013141166,235 EAST 40 STREET 19F NYC NY 10016,9.393521e-07,8.3484804e-07,-4.0277712e-08,property,
1009691391,415 EAST 37 STREET 41C NYC NY 10016,1.0127217e-06,1.1150896e-06,-1.2561189e-06,property,
1008621248,325 5 AVENUE S46 NYC NY 10016,1.1344346e-06,5.3931115e-07,1.5195762e-06,property,
1009681148,630 1 AVENUE 14A NYC NY 10016,1.1594735e-06,1.8345e-07,-1.5785553e-06,property,
1008651002,211 MADISON AVENUE 3B NYC NY 10016,5.358241e-07,1.07928344e-07,8.0248276e-07,property,
1008921030,150 EAST 37 STREET 5E NYC NY 10016,3.1097281e-06,1.427997e-07,5.489624e-06,property,
1008821217,88 LEXINGTON AVENUE 407 NYC NY 10016,1.1319405e-06,-6.1859294e-07,-9.492921e-07,property,
1008661042,30 EAST 37 STREET 6B NYC NY 10016,2.158337e-06,2.6435323e-06,-1.0151012e-06,property,
1014120121,,1.1642028e-06,6.401262e-06,1.4228625e-06,property,
1008031018,315 7 AVENUE 5C NYC NY 10001,4.497909e-06,2.142803e-06,-3.9194906e-06,property,
1008021016,144 WEST 27 STREET 2R NYC NY 10001,1.2247041e-06,8.366116e-06,-4.6709857e-08,property,
1009121180,200 EAST 32 STREET 10C NYC NY 10016,2.2869167e-06,6.143164e-07,6.10626e-06,property,
1008690020,271 MADISON AVENUE  NYC NY 10016,1.1367621e-06,9.477788e-06,-1.2774193e-05,property,
1008881061,157 EAST 32 STREET 17A NYC NY 10016,1.1655399e-06,8.39075e-07,-9.1167317e-07,property,
1008861106,159 EAST 30 STREET 3C NYC NY 10016,1.209068e-06,-6.8153045e-06,-5.855432e-06,property,
1014290030,,2.5682205e-06,-5.1350926e-06,-3.677924e-07,property,
1007741132,252 7 AVENUE 7Y NYC NY 10001,3.2236803e-06,1.8330181e-06,-2.296196e-05,property,
1008681680,425 5 AVENUE OFF-4 NYC NY 10016,9.610765e-07,3.150619e-05,-7.456478e-08,property,
1008901061,155 EAST 34 STREET 4U NYC NY 10016,2.03916e-06,9.845771e-07,2.5036188e-06,property,
1007757501,217 WEST 25 STREET  NYC NY 10001,5.37916e-07,1.0839228e-06,2.698385e-07,property,
1008901055,155 EAST 34 STREET 4N NYC NY 10016,9.820259e-07,-2.8093473e-06,-6.710252e-07,property,
1007540036,403 8 AVENUE  NYC NY 10001,4.78127e-06,1.377519e-06,-1.720239e-06,property,
1726160001,1234 BROADWAY  NYC NY 10001,1.1394247e-06,3.4077266e-07,-1.6515534e-06,property,
1007850073,,1.0558209e-06,1.1143385e-05,5.462035e-06,property,
1009391094,303 EAST 33 STREET 8L NYC NY 10016,1.378659e-06,-1.9096765e-06,-2.5727873e-06,property,
1008861120,159 EAST 30 STREET 7A NYC NY 10016,-1.47072e-07,-9.988032e-06,5.5518594e-06,property,
1008691057,445 5 AVENUE 16D NYC NY 10016,6.5499324e-07,-4.2596423e-07,-1.6951949e-06,property,
